Freq.	V(n004)/V(ampli:n003)	V(n004)/V(ampli:n010)
4.61440236856751e+001	(5.66344796606633e+001dB,-1.79909064492777e+002°)	(5.47095652257380e+001dB,1.79874722129010e+002°)
4.77712891666852e+001	(5.66344789431029e+001dB,-1.79905857874680e+002°)	(5.47095636625817e+001dB,1.79870304508488e+002°)
4.94559400409527e+001	(5.66344781766241e+001dB,-1.79902538167773e+002°)	(5.47095619898020e+001dB,1.79865731094152e+002°)
5.12000000000007e+001	(5.66344773579079e+001dB,-1.79899101384391e+002°)	(5.47095601997370e+001dB,1.79860996392346e+002°)
5.30055641006792e+001	(5.66344764754913e+001dB,-1.79895543396333e+002°)	(5.47095582762643e+001dB,1.79856094715821e+002°)
5.48748012818590e+001	(5.66344755377494e+001dB,-1.79891859929564e+002°)	(5.47095562227233e+001dB,1.79851020176464e+002°)
5.68099569698744e+001	(5.66344745246148e+001dB,-1.79888046559669e+002°)	(5.47095540137950e+001dB,1.79845766679011e+002°)
5.88133557758490e+001	(5.66344734440780e+001dB,-1.79884098705838e+002°)	(5.47095516515542e+001dB,1.79840327912785e+002°)
6.08874042881402e+001	(5.66344722843246e+001dB,-1.79880011625971e+002°)	(5.47095491181140e+001dB,1.79834697344935e+002°)
6.30345939632606e+001	(5.66344710406433e+001dB,-1.79875780410599e+002°)	(5.47095464068661e+001dB,1.79828868212006e+002°)
6.52575041187471e+001	(5.66344697125081e+001dB,-1.79871399977165e+002°)	(5.47095435007680e+001dB,1.79822833512341e+002°)
6.75588050315731e+001	(5.66344682844112e+001dB,-1.79866865063980e+002°)	(5.47095403814650e+001dB,1.79816585997332e+002°)
6.99412611458260e+001	(5.66344667587151e+001dB,-1.79862170223564e+002°)	(5.47095370431592e+001dB,1.79810118162542e+002°)
7.24077343935035e+001	(5.66344651179984e+001dB,-1.79857309816599e+002°)	(5.47095334644800e+001dB,1.79803422239209e+002°)
7.49611876324171e+001	(5.66344633648941e+001dB,-1.79852278004700e+002°)	(5.47095296292562e+001dB,1.79796490184635e+002°)
7.76046882053335e+001	(5.66344614828288e+001dB,-1.79847068743784e+002°)	(5.47095255156103e+001dB,1.79789313672551e+002°)
8.03414116246284e+001	(5.66344594656938e+001dB,-1.79841675776444e+002°)	(5.47095211114733e+001dB,1.79781884082869e+002°)
8.31746453868797e+001	(5.66344573062261e+001dB,-1.79836092624773e+002°)	(5.47095163886271e+001dB,1.79774192492065e+002°)
8.61077929219816e+001	(5.66344549934730e+001dB,-1.79830312582346e+002°)	(5.47095113285149e+001dB,1.79766229661614e+002°)
8.91443776815244e+001	(5.66344525103693e+001dB,-1.79824328706384e+002°)	(5.47095059032609e+001dB,1.79757986027517e+002°)
9.22880473713504e+001	(5.66344498559553e+001dB,-1.79818133809061e+002°)	(5.47095000929636e+001dB,1.79749451688387e+002°)
9.55425783333705e+001	(5.66344470043739e+001dB,-1.79811720449439e+002°)	(5.47094938637136e+001dB,1.79740616394029e+002°)
9.89118800819056e+001	(5.66344439477480e+001dB,-1.79805080923965e+002°)	(5.47094871866850e+001dB,1.79731469532822e+002°)
1.02400000000002e+002	(5.66344406769962e+001dB,-1.79798207257458e+002°)	(5.47094800306198e+001dB,1.79722000119081e+002°)
1.06011128201359e+002	(5.66344371677606e+001dB,-1.79791091193681e+002°)	(5.47094723619413e+001dB,1.79712196779719e+002°)
1.09749602563718e+002	(5.66344334082552e+001dB,-1.79783724185161e+002°)	(5.47094641441162e+001dB,1.79702047740929e+002°)
1.13619913939749e+002	(5.66344293787615e+001dB,-1.79776097383223e+002°)	(5.47094553312904e+001dB,1.79691540814142e+002°)
1.17626711551698e+002	(5.66344250588532e+001dB,-1.79768201626989e+002°)	(5.47094458894444e+001dB,1.79680663380501e+002°)
1.21774808576280e+002	(5.66344204335912e+001dB,-1.79760027432688e+002°)	(5.47094357695444e+001dB,1.79669402377045e+002°)
1.26069187926521e+002	(5.66344154725689e+001dB,-1.79751564982301e+002°)	(5.47094249243130e+001dB,1.79657744280020e+002°)
1.30515008237494e+002	(5.66344101589103e+001dB,-1.79742804111441e+002°)	(5.47094133037900e+001dB,1.79645675089196e+002°)
