time	V(n002)-5.4261mV
2.579929999995012e-003	-1.362250e-001
2.585929999994976e-003	-1.454767e-001
2.591929999994941e-003	-1.545216e-001
2.597929999994905e-003	-1.633470e-001
2.603929999994870e-003	-1.719402e-001
2.609929999994834e-003	-1.802891e-001
2.615929999994798e-003	-1.883818e-001
2.621929999994763e-003	-1.962068e-001
2.627929999994727e-003	-2.037530e-001
2.633929999994691e-003	-2.110096e-001
2.639929999994656e-003	-2.179664e-001
2.645929999994620e-003	-2.246134e-001
2.651929999994585e-003	-2.309413e-001
2.657929999994549e-003	-2.369410e-001
2.663929999994513e-003	-2.426040e-001
2.669929999994478e-003	-2.479222e-001
2.675929999994442e-003	-2.528881e-001
2.681929999994406e-003	-2.574947e-001
2.687929999994371e-003	-2.617353e-001
2.693929999994335e-003	-2.656040e-001
2.699929999994299e-003	-2.690953e-001
2.705929999994264e-003	-2.722042e-001
2.711929999994228e-003	-2.749262e-001
2.717929999994193e-003	-2.772576e-001
2.723929999994157e-003	-2.791950e-001
2.729929999994121e-003	-2.807356e-001
2.735929999994086e-003	-2.818773e-001
2.741929999994050e-003	-2.826185e-001
2.747929999994014e-003	-2.829580e-001
2.753929999993979e-003	-2.828954e-001
2.759929999993943e-003	-2.824308e-001
2.765929999993907e-003	-2.815649e-001
2.771929999993872e-003	-2.802989e-001
2.777929999993836e-003	-2.786345e-001
2.783929999993801e-003	-2.765742e-001
2.789929999993765e-003	-2.741208e-001
2.795929999993729e-003	-2.712780e-001
2.801929999993694e-003	-2.680496e-001
2.807929999993658e-003	-2.644403e-001
2.813929999993622e-003	-2.604552e-001
2.819929999993587e-003	-2.561000e-001
2.825929999993551e-003	-2.513809e-001
2.831929999993516e-003	-2.463046e-001
2.837929999993480e-003	-2.408782e-001
2.843929999993444e-003	-2.351096e-001
2.849929999993409e-003	-2.290068e-001
2.855929999993373e-003	-2.225787e-001
2.861929999993337e-003	-2.158342e-001
2.867929999993302e-003	-2.087830e-001
2.873929999993266e-003	-2.014351e-001
2.879929999993230e-003	-1.938010e-001
2.885929999993195e-003	-1.858915e-001
2.891929999993159e-003	-1.777178e-001
2.897929999993124e-003	-1.692916e-001
2.903929999993088e-003	-1.606248e-001
2.909929999993052e-003	-1.517297e-001
2.915929999993017e-003	-1.426191e-001
2.921929999992981e-003	-1.333058e-001
2.927929999992945e-003	-1.238030e-001
2.928784285707226e-003	-1.224353e-001
2.929638571421507e-003	-1.210641e-001
2.930492857135787e-003	-1.196895e-001
2.931347142850068e-003	-1.183115e-001
2.932201428564349e-003	-1.169300e-001
2.933055714278629e-003	-1.155452e-001
2.933909999992910e-003	-1.141568e-001
2.933929999992910e-003	-1.141243e-001
2.939929999992874e-003	-1.042835e-001
2.940784285707155e-003	-1.028698e-001
2.941638571421435e-003	-1.014533e-001
2.942492857135716e-003	-1.000340e-001
2.943347142849997e-003	-9.861175e-002
2.944201428564277e-003	-9.718667e-002
2.945055714278558e-003	-9.575873e-002
2.945909999992839e-003	-9.432793e-002
2.945929999992838e-003	-9.429441e-002
2.951929999992803e-003	-8.417135e-002
2.957929999992767e-003	-7.392870e-002
2.963929999992732e-003	-6.358100e-002
2.969929999992696e-003	-5.314295e-002
2.975929999992660e-003	-4.262936e-002
2.981929999992625e-003	-3.205521e-002
2.987929999992589e-003	-2.143551e-002
2.993929999992553e-003	-1.078535e-002
2.994464285706836e-003	-9.835989e-003
2.994998571421118e-003	-8.886542e-003
2.995532857135401e-003	-7.937010e-003
2.996067142849684e-003	-6.987393e-003
2.996601428563966e-003	-6.037691e-003
2.997135714278249e-003	-5.087904e-003
2.997669999992531e-003	-4.138032e-003
2.999929999992518e-003	-1.198710e-004
3.005929999992482e-003	1.054578e-002
3.011929999992447e-003	2.119643e-002
3.017929999992411e-003	3.181697e-002
3.023929999992375e-003	4.239229e-002
3.029929999992340e-003	5.290736e-002
3.035929999992304e-003	6.334726e-002
3.041929999992268e-003	7.369712e-002
3.047929999992233e-003	8.394226e-002
3.053929999992197e-003	9.406810e-002
3.059929999992161e-003	1.040603e-001
3.060784285706442e-003	1.054714e-001
3.061638571420723e-003	1.068793e-001
3.062492857135003e-003	1.082841e-001
3.063347142849284e-003	1.096858e-001
3.064201428563565e-003	1.110843e-001
3.065055714277845e-003	1.124797e-001
3.065909999992126e-003	1.138720e-001
3.065929999992126e-003	1.139046e-001
3.071929999992090e-003	1.235870e-001
3.077929999992055e-003	1.330938e-001
3.083929999992019e-003	1.424114e-001
3.089929999991983e-003	1.515267e-001
3.095929999991948e-003	1.604267e-001
3.101929999991912e-003	1.690986e-001
3.107929999991876e-003	1.775303e-001
3.113929999991841e-003	1.857097e-001
3.119929999991805e-003	1.936252e-001
3.125929999991770e-003	2.012655e-001
