Freq.	V(ampli:n003)	V(ampli:n010)
3.49706305729130e+001	(3.07786083266407e+001dB,-1.76857091897437e+002°)	(3.27035177514493e+001dB,-1.76693228747202e+002°)
3.62038671967517e+001	(3.07798831949268e+001dB,-1.77020555668623e+002°)	(3.27047931053948e+001dB,-1.76850914551028e+002°)
3.74805938162085e+001	(3.07810657027399e+001dB,-1.77180490899919e+002°)	(3.27059761337414e+001dB,-1.77004868034354e+002°)
3.88023441026667e+001	(3.07821614605973e+001dB,-1.77337084652784e+002°)	(3.27070724494780e+001dB,-1.77155269073279e+002°)
4.01707058123142e+001	(3.07831756712325e+001dB,-1.77490520460696e+002°)	(3.27080872580567e+001dB,-1.77302293762289e+002°)
4.15873226934398e+001	(3.07841131540657e+001dB,-1.77640978500224e+002°)	(3.27090253817378e+001dB,-1.77446114576896e+002°)
4.30538964609907e+001	(3.07849783667602e+001dB,-1.77788635764259e+002°)	(3.27098912812685e+001dB,-1.77586900537208e+002°)
4.45721888407621e+001	(3.07857754303558e+001dB,-1.77933666235210e+002°)	(3.27106890762995e+001dB,-1.77724817371453e+002°)
4.61440236856751e+001	(3.07865081302341e+001dB,-1.78076241056077e+002°)	(3.27114225651594e+001dB,-1.77860027677864e+002°)
4.77712891666852e+001	(3.07871799610335e+001dB,-1.78216528705210e+002°)	(3.27120952415548e+001dB,-1.77992691088378e+002°)
4.94559400409527e+001	(3.07877941242156e+001dB,-1.78354695168483e+002°)	(3.27127103110377e+001dB,-1.78122964430408e+002°)
5.12000000000007e+001	(3.07883535478557e+001dB,-1.78490904111082e+002°)	(3.27132707060266e+001dB,-1.78251001887819e+002°)
5.30055641006792e+001	(3.07888609003605e+001dB,-1.78625317048983e+002°)	(3.27137790995876e+001dB,-1.78376955161137e+002°)
5.48748012818590e+001	(3.07893186021098e+001dB,-1.78758093522964e+002°)	(3.27142379171358e+001dB,-1.78500973628992e+002°)
5.68099569698744e+001	(3.07897288381716e+001dB,-1.78889391265225e+002°)	(3.27146493489915e+001dB,-1.78623204503904e+002°)
5.88133557758490e+001	(3.07900935666710e+001dB,-1.79019366375356e+002°)	(3.27150153591947e+001dB,-1.78743792993979e+002°)
6.08874042881402e+001	(3.07904145296670e+001dB,-1.79148173485706e+002°)	(3.27153376958776e+001dB,-1.78862882456612e+002°)
6.30345939632606e+001	(3.07906932648987e+001dB,-1.79275965934359e+002°)	(3.27156178986759e+001dB,-1.78980614556964e+002°)
6.52575041187471e+001	(3.07909310947469e+001dB,-1.79402895931900e+002°)	(3.27158573064871e+001dB,-1.79097129421407e+002°)
6.75588050315731e+001	(3.07911291605720e+001dB,-1.79529114731267e+002°)	(3.27160570635181e+001dB,-1.79212565792579e+002°)
6.99412611458260e+001	(3.07912884087553e+001dB,-1.79654772798316e+002°)	(3.27162181243112e+001dB,-1.79327061184422e+002°)
7.24077343935035e+001	(3.07914096053927e+001dB,-1.79780019976315e+002°)	(3.27163412589111e+001dB,-1.79440752032123e+002°)
7.49611876324171e+001	(3.07914933203802e+001dB,-1.79905005656894e+002°)	(3.27164270560182e+001dB,-1.79553773846229e+002°)
7.76046882053335e+001	(3.07915399587965e+001dB,1.79970121053500e+002°)	(3.27164759260150e+001dB,-1.79666261362836e+002°)
8.03414116246284e+001	(3.07915497481687e+001dB,1.79845211163016e+002°)	(3.27164881023892e+001dB,-1.79778348696298e+002°)
8.31746453868797e+001	(3.07915227260821e+001dB,1.79720115630732e+002°)	(3.27164636436812e+001dB,-1.79890169486106e+002°)
